team,season,elo,note
Fulham,2020-21,1784,opening-season baseline
Arsenal,2020-21,1784,opening-season baseline
Crystal Palace,2020-21,1784,opening-season baseline
Southampton,2020-21,1784,opening-season baseline
Liverpool,2020-21,1784,opening-season baseline
Leeds,2020-21,1784,opening-season baseline
West Ham,2020-21,1784,opening-season baseline
Newcastle,2020-21,1784,opening-season baseline
West Brom,2020-21,1784,opening-season baseline
Leicester,2020-21,1784,opening-season baseline
Tottenham,2020-21,1784,opening-season baseline
Everton,2020-21,1784,opening-season baseline
Sheffield United,2020-21,1784,opening-season baseline
Wolves,2020-21,1784,opening-season baseline
Brighton,2020-21,1784,opening-season baseline
Chelsea,2020-21,1784,opening-season baseline
Man United,2020-21,1784,opening-season baseline
Burnley,2020-21,1784,opening-season baseline
Aston Villa,2020-21,1784,opening-season baseline
Man City,2020-21,1784,opening-season baseline
Brentford,2021-22,1686,"bottom-4 of 2020-21: Burnley, Fulham, West Brom, Sheffield United"
Watford,2021-22,1684,"bottom-4 of 2020-21: Burnley, Fulham, West Brom, Sheffield United"
Norwich,2021-22,1684,"bottom-4 of 2020-21: Burnley, Fulham, West Brom, Sheffield United"
Bournemouth,2022-23,1655,"bottom-4 of 2021-22: Leeds, Burnley, Watford, Norwich"
Nott'm Forest,2022-23,1656,"bottom-4 of 2021-22: Leeds, Burnley, Watford, Norwich"
Luton,2023-24,1682,"bottom-4 of 2022-23: Everton, Leicester, Leeds, Southampton"
Ipswich,2024-25,1632,"bottom-4 of 2023-24: Nott'm Forest, Luton, Burnley, Sheffield United"
Sunderland,2025-26,1632,"bottom-4 of 2024-25: Tottenham, Leicester, Ipswich, Southampton"
