book,w,season,bets,staked,profit,yield_pct,flat_roi_pct
avg,0.0,2021-22,0,0.0,0.0,,
avg,0.0,2022-23,0,0.0,0.0,,
avg,0.0,2023-24,0,0.0,0.0,,
avg,0.0,2024-25,0,0.0,0.0,,
avg,0.0,2025-26,0,0.0,0.0,,
avg,0.05,2021-22,6,12.22,-12.22,-100.0,-100.0
avg,0.05,2022-23,1,0.96,-0.96,-100.0,-100.0
avg,0.05,2023-24,1,1.73,-1.73,-100.0,-100.0
avg,0.05,2024-25,0,0.0,0.0,,
avg,0.05,2025-26,0,0.0,0.0,,
avg,0.1,2021-22,20,51.93,-51.93,-100.0,-100.0
avg,0.1,2022-23,5,9.73,-9.73,-100.0,-100.0
avg,0.1,2023-24,13,27.01,9.63,35.65,0.62
avg,0.1,2024-25,4,5.67,-5.67,-100.0,-100.0
avg,0.1,2025-26,0,0.0,0.0,,
avg,0.15,2021-22,43,195.4,-162.55,-83.19,-94.35
avg,0.15,2022-23,15,36.4,4.49,12.34,65.47
avg,0.15,2023-24,33,116.9,92.74,79.33,53.91
avg,0.15,2024-25,11,36.49,-15.4,-42.2,-72.45
avg,0.15,2025-26,3,8.26,-8.26,-100.0,-100.0
avg,0.2,2021-22,66,402.76,-238.25,-59.15,-71.21
avg,0.2,2022-23,35,136.79,6.47,4.73,8.94
avg,0.2,2023-24,57,271.57,87.91,32.37,2.89
avg,0.2,2024-25,28,137.7,-6.77,-4.92,25.71
avg,0.2,2025-26,20,98.68,-53.36,-54.07,-61.55
avg,0.25,2021-22,92,703.46,-197.55,-28.08,-23.97
avg,0.25,2022-23,56,318.57,9.23,2.9,3.93
avg,0.25,2023-24,84,574.42,-61.34,-10.68,-16.36
avg,0.25,2024-25,51,319.9,6.89,2.15,5.31
avg,0.25,2025-26,41,233.13,-103.17,-44.25,-54.44
avg,0.3,2021-22,119,1094.69,-226.56,-20.7,-18.55
avg,0.3,2022-23,92,710.33,-74.03,-10.42,-8.66
avg,0.3,2023-24,102,799.41,-211.41,-26.45,-23.93
avg,0.3,2024-25,71,552.72,62.18,11.25,24.21
avg,0.3,2025-26,55,399.29,-156.32,-39.15,-46.62
avg,0.35,2021-22,151,1550.62,-281.32,-18.14,-27.07
avg,0.35,2022-23,113,1047.36,-89.45,-8.54,-7.34
avg,0.35,2023-24,119,1089.68,-276.57,-25.38,-21.56
avg,0.35,2024-25,99,968.42,82.6,8.53,15.59
avg,0.35,2025-26,78,723.12,-240.22,-33.22,-36.83
avg,0.4,2021-22,172,1957.85,-266.23,-13.6,-16.63
avg,0.4,2022-23,129,1370.62,-180.86,-13.2,-9.17
avg,0.4,2023-24,139,1477.48,-386.72,-26.17,-14.96
avg,0.4,2024-25,121,1313.12,183.81,14.0,24.97
avg,0.4,2025-26,101,1050.36,-284.24,-27.06,-28.7
avg,0.45,2021-22,188,2377.95,-311.63,-13.1,-21.7
avg,0.45,2022-23,156,1800.89,-150.91,-8.38,-8.01
avg,0.45,2023-24,163,1885.32,-444.29,-23.57,-18.93
avg,0.45,2024-25,148,1731.31,167.42,9.67,20.09
avg,0.45,2025-26,123,1338.88,-272.98,-20.39,-20.9
avg,0.5,2021-22,210,2783.25,-347.61,-12.49,-19.01
avg,0.5,2022-23,181,2193.06,-140.21,-6.39,-6.25
avg,0.5,2023-24,183,2285.36,-540.13,-23.63,-23.75
avg,0.5,2024-25,163,2110.06,170.11,8.06,19.65
avg,0.5,2025-26,139,1633.77,-249.67,-15.28,-18.2
avg,0.55,2021-22,223,3192.95,-409.31,-12.82,-20.13
avg,0.55,2022-23,195,2510.34,-230.23,-9.17,-5.51
avg,0.55,2023-24,193,2608.18,-462.8,-17.74,-21.71
avg,0.55,2024-25,175,2359.65,182.91,7.75,15.79
avg,0.55,2025-26,154,1925.85,-247.02,-12.83,-18.95
avg,0.6,2021-22,238,3662.92,-496.88,-13.57,-20.74
avg,0.6,2022-23,214,2860.28,-138.12,-4.83,-2.0
avg,0.6,2023-24,205,2871.75,-581.01,-20.23,-23.2
avg,0.6,2024-25,194,2731.31,178.77,6.55,18.02
avg,0.6,2025-26,164,2196.19,-237.8,-10.83,-16.4
avg,0.65,2021-22,244,3909.93,-653.33,-16.71,-21.82
avg,0.65,2022-23,227,3166.72,-225.39,-7.12,-3.6
avg,0.65,2023-24,217,3133.21,-539.97,-17.23,-22.22
avg,0.65,2024-25,199,2939.26,134.87,4.59,11.23
avg,0.65,2025-26,172,2453.6,-253.91,-10.35,-15.0
avg,0.7,2021-22,253,4243.1,-724.22,-17.07,-22.33
avg,0.7,2022-23,240,3446.33,-251.72,-7.3,-3.25
avg,0.7,2023-24,224,3345.03,-506.07,-15.13,-19.6
avg,0.7,2024-25,209,3202.11,54.06,1.69,7.1
avg,0.7,2025-26,182,2678.9,-224.29,-8.37,-10.97
avg,0.75,2021-22,259,4515.54,-768.05,-17.01,-22.27
avg,0.75,2022-23,257,3756.96,-337.95,-9.0,-4.92
avg,0.75,2023-24,232,3589.93,-520.08,-14.49,-18.72
avg,0.75,2024-25,213,3399.36,31.87,0.94,7.78
avg,0.75,2025-26,189,2910.65,-287.33,-9.87,-12.65
avg,0.8,2021-22,262,4681.41,-838.93,-17.92,-24.84
avg,0.8,2022-23,264,3984.91,-265.92,-6.67,-6.67
avg,0.8,2023-24,242,3794.04,-663.27,-17.48,-19.9
avg,0.8,2024-25,221,3569.61,43.22,1.21,10.71
avg,0.8,2025-26,202,3162.71,-298.82,-9.45,-12.31
avg,0.85,2021-22,275,4977.09,-923.8,-18.56,-25.69
avg,0.85,2022-23,270,4321.99,-309.44,-7.16,-7.73
avg,0.85,2023-24,242,3939.14,-620.93,-15.76,-18.39
avg,0.85,2024-25,227,3677.51,102.02,2.77,12.25
avg,0.85,2025-26,211,3373.93,-289.29,-8.57,-13.88
avg,0.9,2021-22,281,5140.89,-902.53,-17.56,-26.21
avg,0.9,2022-23,278,4566.1,-342.97,-7.51,-8.22
avg,0.9,2023-24,246,4141.87,-718.85,-17.36,-21.31
avg,0.9,2024-25,233,3824.04,161.46,4.22,11.19
avg,0.9,2025-26,213,3565.73,-319.21,-8.95,-15.0
avg,0.95,2021-22,288,5321.43,-914.5,-17.19,-25.61
avg,0.95,2022-23,285,4777.32,-313.22,-6.56,-7.29
avg,0.95,2023-24,249,4361.27,-740.29,-16.97,-20.29
avg,0.95,2024-25,246,4044.21,137.77,3.41,8.67
avg,0.95,2025-26,218,3691.96,-283.41,-7.68,-14.26
avg,1.0,2021-22,285,5413.45,-955.0,-17.64,-24.83
