book,min_ev_pct,bets,staked,profit,yield_pct,flat_roi_pct,strike_rate_pct,mean_edge_pct
avg,5.0,1298,22972.8,-2350.7,-10.23,-11.68,31.74,23.29
avg,7.5,1183,21526.69,-2250.29,-10.45,-10.2,31.11,26.12
avg,10.0,1056,19483.8,-1918.23,-9.85,-9.79,30.59,28.73
avg,12.5,945,17302.97,-1564.98,-9.04,-9.79,29.31,31.59
avg,15.0,835,15017.32,-1604.38,-10.68,-9.39,27.9,34.22
avg,17.5,725,12650.86,-1520.95,-12.02,-9.27,26.48,37.64
avg,20.0,631,10546.65,-1456.3,-13.81,-9.74,25.2,40.82
avg,25.0,484,8281.51,-1327.42,-16.03,-14.93,22.31,46.76
avg,30.0,372,6279.33,-807.87,-12.87,-13.7,20.43,53.28
b365,5.0,1254,21982.74,-2149.88,-9.78,-11.13,31.5,23.1
b365,7.5,1133,20356.35,-1911.17,-9.39,-11.29,30.63,25.56
b365,10.0,997,18265.09,-1295.71,-7.09,-9.09,30.49,28.53
b365,12.5,896,16371.8,-1575.72,-9.62,-11.87,28.57,31.51
b365,15.0,792,14240.22,-1668.22,-11.71,-12.21,26.89,34.38
b365,17.5,696,12168.98,-1064.51,-8.75,-8.54,26.72,37.11
b365,20.0,597,9785.02,-1177.19,-12.03,-10.45,24.62,40.3
b365,25.0,460,7807.63,-868.81,-11.13,-5.18,23.7,46.79
b365,30.0,346,5876.45,-762.97,-12.98,-14.9,20.52,53.6
