book,w,n_selections,brier,bets,staked,profit,yield_pct,flat_roi_pct,flat_roi_se_pct,strike_rate_pct,mean_staked_prob,mean_market_fair,mean_edge_pct,mean_odds,brier_on_bets,thin_sample
avg,0.0,5700,0.18996,0,0.0,0.0,,,,,,,,,,True
avg,0.05,5700,0.190103,8,14.91,-14.91,-100.0,-100.0,0.0,0.0,0.083,0.0724,10.85,14.29,0.007355,True
avg,0.1,5700,0.190269,42,94.34,-57.7,-61.16,-68.86,22.15,4.76,0.1069,0.0947,9.21,11.92,0.044923,True
avg,0.15,5700,0.19046,105,393.45,-88.98,-22.62,-22.79,25.53,11.43,0.1515,0.1331,10.71,9.84,0.095865,False
avg,0.2,5700,0.190674,206,1047.5,-204.0,-19.47,-22.98,16.11,14.56,0.196,0.1722,10.99,8.02,0.117307,False
avg,0.25,5700,0.190913,324,2149.48,-345.94,-16.09,-16.42,11.94,18.83,0.2375,0.2084,11.17,6.66,0.145378,False
avg,0.3,5700,0.191175,439,3556.44,-606.14,-17.04,-14.33,9.77,21.18,0.2691,0.2351,11.75,5.95,0.161724,False
avg,0.35,5700,0.191462,560,5379.2,-804.96,-14.96,-15.74,8.06,23.57,0.2981,0.2593,12.44,5.43,0.167049,False
avg,0.4,5700,0.191772,662,7169.43,-934.24,-13.03,-9.07,7.54,25.83,0.3152,0.2723,13.3,5.15,0.180749,False
avg,0.45,5700,0.192106,778,9134.35,-1012.39,-11.08,-10.3,6.67,27.12,0.3327,0.2863,13.75,4.86,0.181938,False
avg,0.5,5700,0.192464,876,11005.5,-1107.51,-10.06,-10.04,6.11,28.31,0.3465,0.2966,14.45,4.66,0.185882,False
avg,0.55,5700,0.192847,940,12596.97,-1166.45,-9.26,-10.54,5.77,29.15,0.3568,0.3031,15.52,4.55,0.185988,False
avg,0.6,5700,0.193253,1015,14322.45,-1275.04,-8.9,-9.18,5.49,30.25,0.3688,0.3118,16.21,4.41,0.189612,False
avg,0.65,5700,0.193683,1059,15602.72,-1537.73,-9.86,-10.68,5.26,30.31,0.3772,0.3166,17.15,4.32,0.191205,False
avg,0.7,5700,0.194137,1108,16915.47,-1652.24,-9.77,-10.23,5.06,30.78,0.3838,0.3198,18.02,4.24,0.194414,False
avg,0.75,5700,0.194615,1150,18172.44,-1881.54,-10.35,-10.53,4.93,30.96,0.3907,0.3233,18.99,4.21,0.195871,False
avg,0.8,5700,0.195118,1191,19192.68,-2023.72,-10.54,-11.09,4.82,30.98,0.3972,0.3267,19.87,4.15,0.196563,False
avg,0.85,5700,0.195644,1225,20289.66,-2041.44,-10.06,-11.23,4.72,31.27,0.4059,0.332,20.65,4.08,0.199599,False
avg,0.9,5700,0.196194,1251,21238.63,-2122.1,-9.99,-12.37,4.62,31.1,0.4103,0.3332,21.66,4.06,0.200169,False
avg,0.95,5700,0.196768,1286,22196.19,-2113.65,-9.52,-12.04,4.53,31.49,0.4147,0.3349,22.41,4.02,0.200552,False
avg,1.0,5700,0.197366,1298,22972.8,-2350.7,-10.23,-11.68,4.5,31.74,0.4212,0.3378,23.29,3.98,0.203031,False
b365,0.0,5700,0.190053,0,0.0,0.0,,,,,,,,,,True
b365,0.05,5700,0.190189,7,12.22,-12.22,-100.0,-100.0,0.0,0.0,0.0807,0.0705,8.45,14.29,0.006946,True
b365,0.1,5700,0.19035,29,68.46,-35.58,-51.97,-54.31,32.45,6.9,0.1093,0.0956,9.42,11.26,0.059428,True
b365,0.15,5700,0.190534,91,307.48,-71.04,-23.1,-30.33,22.19,10.99,0.147,0.1283,10.14,9.5,0.094418,True
b365,0.2,5700,0.190743,159,762.41,-190.72,-25.02,-31.14,17.59,11.95,0.1827,0.1583,11.16,8.13,0.104238,False
b365,0.25,5700,0.190976,259,1591.27,-270.07,-16.97,-19.24,13.06,17.37,0.2219,0.1922,11.57,6.9,0.135991,False
b365,0.3,5700,0.191233,381,2945.67,-439.14,-14.91,-15.38,9.91,21.52,0.2626,0.2274,11.85,5.92,0.157198,False
b365,0.35,5700,0.191515,502,4559.25,-661.38,-14.51,-10.41,8.93,22.91,0.2881,0.2485,12.43,5.46,0.171663,False
b365,0.4,5700,0.19182,588,5986.42,-737.8,-12.32,-9.94,7.95,24.49,0.3028,0.2591,13.19,5.22,0.176272,False
b365,0.45,5700,0.192149,704,7962.66,-928.75,-11.66,-10.1,6.9,26.42,0.3243,0.2766,13.78,4.9,0.182686,False
b365,0.5,5700,0.192503,787,9655.63,-1017.81,-10.54,-11.88,6.32,26.94,0.3383,0.2866,14.69,4.71,0.18552,False
b365,0.55,5700,0.192881,852,11196.07,-1249.89,-11.16,-11.72,5.96,27.93,0.349,0.2935,15.61,4.59,0.185695,False
b365,0.6,5700,0.193282,928,12822.24,-1209.94,-9.44,-9.84,5.63,29.53,0.3621,0.303,16.37,4.45,0.190015,False
b365,0.65,5700,0.193708,977,14177.41,-1289.83,-9.1,-9.98,5.37,30.09,0.3712,0.3085,17.07,4.34,0.192364,False
b365,0.7,5700,0.194158,1035,15540.01,-1525.93,-9.82,-10.24,5.18,30.24,0.3793,0.3133,17.9,4.26,0.195181,False
b365,0.75,5700,0.194633,1078,16773.15,-1634.14,-9.74,-10.32,5.08,30.61,0.3881,0.3186,18.78,4.2,0.19646,False
b365,0.8,5700,0.195131,1129,17878.54,-1800.2,-10.07,-11.01,4.93,30.65,0.3936,0.3212,19.51,4.16,0.196848,False
b365,0.85,5700,0.195653,1170,19092.65,-2188.55,-11.46,-13.4,4.77,30.17,0.4002,0.3246,20.39,4.11,0.197279,False
b365,0.9,5700,0.1962,1193,19958.19,-2157.46,-10.81,-13.18,4.7,30.43,0.4053,0.3263,21.3,4.06,0.198734,False
b365,0.95,5700,0.196771,1224,20991.6,-2260.38,-10.77,-11.92,4.66,30.88,0.4112,0.3289,22.23,4.02,0.201467,False
b365,1.0,5700,0.197366,1254,21982.74,-2149.88,-9.78,-11.13,4.58,31.5,0.4178,0.3321,23.1,3.98,0.203209,False
