book,breakdown,bucket,bets,staked,profit,yield_pct,flat_roi_pct,strike_rate_pct,mean_model_prob,mean_market_fair,mean_edge_pct,mean_odds,model_prob_range,actual_win_rate
avg,overall,all bets,1298,22972.8,-2350.7,-10.23,-11.68,31.74,0.4212,0.3378,23.29,3.98,,
avg,by_selection,home,372,7888.17,-917.53,-11.63,-11.9,39.25,0.5047,0.4172,19.91,3.02,,
avg,by_selection,draw,105,856.62,-278.17,-32.47,-23.81,15.24,0.2306,0.1839,22.68,5.48,,
avg,by_selection,away,821,14228.01,-1155.0,-8.12,-10.03,30.45,0.4077,0.3214,24.9,4.23,,
avg,by_band,band 1,328,4938.12,-331.95,-6.72,-10.68,26.83,0.3668,0.2943,20.93,3.41,,
avg,by_band,band 2,291,5033.26,-67.3,-1.34,2.3,33.33,0.3984,0.3197,20.36,3.36,,
avg,by_band,band 3,249,5335.88,-607.73,-11.39,-25.4,34.54,0.4757,0.3786,22.13,3.4,,
avg,by_band,band 4,157,2780.37,-352.87,-12.69,-16.46,30.57,0.3985,0.315,29.06,4.94,,
avg,by_band,band 5,135,2408.0,-570.06,-23.67,-20.96,31.11,0.4499,0.3722,19.07,4.2,,
avg,by_band,band 6,76,1210.42,-285.2,-23.56,-1.07,28.95,0.4171,0.3343,31.8,7.07,,
avg,by_band,band 7,29,441.68,-141.82,-32.11,0.76,20.69,0.3768,0.2865,46.9,6.55,,
avg,by_band,band 8,25,609.22,18.68,3.07,-16.28,68.0,0.7565,0.6035,36.49,5.79,,
avg,by_band,band 9,6,155.85,-19.35,-12.42,-24.17,66.67,0.8651,0.7258,14.22,1.93,,
avg,by_band,band 10,2,60.0,6.9,11.5,11.5,100.0,1.0,0.8606,11.5,1.12,,
avg,by_edge_bucket,5-10%,304,4219.29,-712.76,-16.89,-21.56,32.57,0.4305,0.3836,7.4,3.2,,
avg,by_edge_bucket,10-20%,446,9212.94,-335.96,-3.65,-7.23,37.44,0.448,0.3743,14.8,3.26,,
avg,by_edge_bucket,20%+,548,9540.57,-1301.98,-13.65,-9.82,26.64,0.3942,0.2826,39.02,5.0,,
avg,implausible_edge_pattern,"away-underdog, edge <20%",152,1190.55,-311.23,-26.14,-38.01,13.82,0.2299,0.1966,12.09,5.33,,
avg,implausible_edge_pattern,"away-underdog, edge >=20%",160,1300.32,27.17,2.09,7.76,16.25,0.1957,0.1346,44.9,8.73,,
avg,implausible_edge_pattern,"other selection, edge <20%",598,12241.68,-737.49,-6.02,-6.69,40.97,0.4945,0.4242,11.72,2.7,,
avg,implausible_edge_pattern,"other selection, edge >=20%",388,8240.25,-1329.15,-16.13,-17.07,30.93,0.4761,0.3436,36.6,3.46,,
avg,away_underdog_implausible,away underdog with edge >=20%,160,1300.32,27.17,2.09,7.76,16.25,0.1957,0.1346,44.9,8.73,,
avg,by_season,2021-22,285,5413.45,-955.0,-17.64,-24.83,31.93,0.4517,0.3562,28.57,4.02,,
avg,by_season,2022-23,290,4999.99,-303.35,-6.07,-7.8,31.38,0.4129,0.337,21.21,4.01,,
avg,by_season,2023-24,252,4490.87,-752.73,-16.76,-18.99,28.57,0.411,0.3291,24.33,4.34,,
avg,by_season,2024-25,250,4232.47,62.39,1.47,7.17,35.6,0.4201,0.34,20.74,3.81,,
avg,by_season,2025-26,221,3836.02,-402.01,-10.48,-12.79,31.22,0.4055,0.3222,20.92,3.68,,
avg,calibration,,196,,,,,,0.1544,0.1164,,,0.00-0.20,0.0663
avg,calibration,,282,,,,,,0.258,0.2057,,,0.20-0.30,0.2234
avg,calibration,,169,,,,,,0.3646,0.2869,,,0.30-0.40,0.2426
avg,calibration,,202,,,,,,0.4527,0.3602,,,0.40-0.50,0.3564
avg,calibration,,201,,,,,,0.5446,0.4365,,,0.50-0.60,0.4229
avg,calibration,,248,,,,,,0.7304,0.5992,,,0.60-1.01,0.5565
b365,overall,all bets,1254,21982.74,-2149.88,-9.78,-11.13,31.5,0.4178,0.3321,23.1,3.98,,
b365,by_selection,home,359,7445.52,-1065.78,-14.31,-14.76,38.72,0.5029,0.4141,19.32,3.03,,
b365,by_selection,draw,106,852.26,-210.8,-24.73,-20.93,15.09,0.2296,0.1802,23.54,5.54,,
b365,by_selection,away,789,13684.96,-873.3,-6.38,-8.16,30.42,0.4044,0.3152,24.77,4.2,,
b365,by_band,band 1,320,4751.91,-288.45,-6.07,-8.83,27.5,0.3674,0.2932,20.73,3.4,,
b365,by_band,band 2,285,4898.24,207.82,4.24,6.56,33.33,0.3898,0.3083,21.39,3.48,,
b365,by_band,band 3,239,5061.09,-741.54,-14.65,-32.18,32.22,0.4674,0.3681,22.87,3.56,,
b365,by_band,band 4,145,2631.62,-382.7,-14.54,-13.63,31.72,0.4103,0.3238,27.48,4.68,,
b365,by_band,band 5,131,2349.5,-622.98,-26.52,-21.86,30.53,0.4526,0.3717,19.02,4.17,,
b365,by_band,band 6,73,1094.0,-275.29,-25.16,-4.56,28.77,0.4071,0.3255,28.02,6.83,,
b365,by_band,band 7,30,410.33,-55.99,-13.65,10.43,20.0,0.3366,0.246,45.71,6.61,,
b365,by_band,band 8,24,576.05,16.75,2.91,-17.67,66.67,0.7481,0.5896,32.74,5.39,,
b365,by_band,band 9,5,150.0,-13.8,-9.2,-9.2,80.0,1.0,0.8271,14.8,1.15,,
b365,by_band,band 10,2,60.0,6.3,10.5,10.5,100.0,1.0,0.8488,10.5,1.1,,
b365,by_edge_bucket,5-10%,302,4258.19,-839.06,-19.7,-15.8,33.11,0.4336,0.3826,7.48,3.17,,
b365,by_edge_bucket,10-20%,420,8742.44,-67.84,-0.78,-3.58,38.57,0.4494,0.3713,14.84,3.24,,
b365,by_edge_bucket,20%+,532,8982.11,-1242.98,-13.84,-14.44,25.0,0.3839,0.2725,38.5,5.02,,
b365,implausible_edge_pattern,"away-underdog, edge <20%",140,1106.07,-81.79,-7.39,-13.23,17.86,0.2326,0.1972,11.99,5.27,,
b365,implausible_edge_pattern,"away-underdog, edge >=20%",167,1343.96,56.53,4.21,-4.6,14.97,0.1991,0.1374,41.32,8.21,,
b365,implausible_edge_pattern,"other selection, edge <20%",583,11924.56,-855.11,-7.17,-7.76,40.65,0.4942,0.4197,11.72,2.71,,
b365,implausible_edge_pattern,"other selection, edge >=20%",364,7608.15,-1269.51,-16.69,-18.71,29.67,0.4669,0.333,37.25,3.57,,
b365,away_underdog_implausible,away underdog with edge >=20%,167,1343.96,56.53,4.21,-4.6,14.97,0.1991,0.1374,41.32,8.21,,
b365,by_season,2021-22,276,5188.79,-985.34,-18.99,-26.95,31.52,0.4491,0.352,27.45,3.97,,
b365,by_season,2022-23,276,4712.85,-430.48,-9.13,-10.08,30.43,0.4123,0.3334,20.98,4.01,,
b365,by_season,2023-24,253,4404.05,-575.0,-13.06,-18.55,28.06,0.4016,0.3172,24.85,4.43,,
b365,by_season,2024-25,230,3936.33,-16.89,-0.43,7.6,35.22,0.4179,0.3324,21.24,3.79,,
b365,by_season,2025-26,219,3740.72,-142.17,-3.8,-3.61,32.88,0.4038,0.3223,20.23,3.62,,
b365,calibration,,188,,,,,,0.1558,0.1165,,,0.00-0.20,0.0638
b365,calibration,,286,,,,,,0.2572,0.2023,,,0.20-0.30,0.2238
b365,calibration,,167,,,,,,0.3648,0.2856,,,0.30-0.40,0.2515
b365,calibration,,193,,,,,,0.4529,0.3571,,,0.40-0.50,0.3627
b365,calibration,,183,,,,,,0.5445,0.4316,,,0.50-0.60,0.4208
b365,calibration,,237,,,,,,0.7303,0.5954,,,0.60-1.01,0.5485
